name,artist,release_date,length (minutes),popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,hit
The Lemon Song - 1993 Remaster,Led Zeppelin,1969,6.33,53,0.409,0.0939,0.515,0.0723,9,0.0916,-13.007,0.116,90.527,4,0.729,1
How Deep Is Your Love (Bee Gees),Michael Marc,2010,4.36,30,0.736,0.969,0.231,0.895,5,0.11,-9.779,0.05,114.676,4,0.46,0
Working Man,Rush,1974,7.17,61,0.202,0.00383,0.835,0.0388,9,0.126,-11.04,0.0599,156.883,4,0.661,1
Out Of Exile,Audioslave,2005,4.81,49,0.414,0.0593,0.934,0.0,0,0.181,-4.102,0.0692,165.614,4,0.797,0
Let's Groove,"Earth, Wind & Fire",1981,5.66,73,0.869,0.121,0.648,2.17e-05,11,0.126,-8.698,0.0633,125.035,4,0.9,1
The Stroke - Remastered,Billy Squier,1981,3.63,66,0.67,0.62,0.591,0.0,7,0.373,-6.012,0.0646,91.439,4,0.8,1
Papercut,Linkin Park,2000,3.08,72,0.524,0.00022,0.939,0.0,9,0.623,-3.994,0.113,150.184,4,0.661,1
Europa (Earth's Cry Heaven's Smile),Santana,2007,5.1,58,0.296,0.03,0.669,0.831,0,0.154,-5.364,0.0452,74.692,4,0.679,1
We're Not Gonna Take It,The Who,1969,7.1,34,0.445,0.0298,0.401,0.0,0,0.0684,-8.962,0.0341,131.61,4,0.18,0
Time Is On My Side - Mono Version,The Rolling Stones,1965,2.99,53,0.508,0.291,0.645,3.25e-06,5,0.107,-9.012,0.0395,99.302,4,0.412,1
She's Lost Control - 2007 Remaster,Joy Division,1979,3.95,60,0.485,0.0157,0.846,0.0287,11,0.0766,-7.63,0.0528,144.246,4,0.743,1
High Voltage,AC/DC,1976,4.24,61,0.561,0.0282,0.785,0.451,9,0.0615,-4.973,0.0629,137.153,4,0.546,1
Cowgirl in the Sand - 2009 Remaster,Neil Young,1969,10.11,49,0.29,0.00519,0.821,0.0525,5,0.141,-7.022,0.0578,172.323,4,0.359,0
Midnight City,M83,2011,4.07,76,0.507,0.0182,0.729,1.4e-06,11,0.0658,-5.399,0.0393,105.013,4,0.272,1
Gold Lion,Yeah Yeah Yeahs,2006,3.12,52,0.521,0.0223,0.855,5.54e-06,9,0.0869,-3.348,0.0686,158.744,4,0.257,0
Soul Meets Body,Death Cab for Cutie,2005,3.85,57,0.63,0.124,0.772,0.000432,2,0.116,-8.366,0.0251,128.133,4,0.717,1
Kiss Off,Violent Femmes,1983,2.95,55,0.661,0.255,0.662,0.0,4,0.131,-8.88,0.0931,87.119,4,0.825,1
Let's Go Crazy,Prince,1984,4.67,62,0.309,0.0192,0.93,0.0022,11,0.106,-6.399,0.125,195.815,4,0.376,1
2 Minutes to Midnight - 2015 Remaster,Iron Maiden,1984,6.06,64,0.446,0.00754,0.97,0.000275,9,0.199,-5.004,0.0508,94.233,4,0.595,1
Theme From Shaft - Album - Remastered,Isaac Hayes,1971,4.65,51,0.487,0.233,0.716,0.00445,9,0.113,-17.689,0.0463,120.795,4,0.819,0
Innocent,Our Lady Peace,2002,3.71,55,0.393,0.000443,0.896,0.0,1,0.0774,-4.902,0.0671,177.981,4,0.793,1
Buffalo Soldier,Bob Marley & The Wailers,1983,4.26,71,0.929,0.142,0.463,5.26e-06,9,0.0634,-8.651,0.308,124.084,4,0.757,1
Add It Up,Violent Femmes,1983,4.74,56,0.41,0.274,0.763,1.36e-05,4,0.0553,-7.904,0.338,172.295,4,0.649,1
The Diary of Jane - Single Version,Breaking Benjamin,2006,3.34,64,0.392,6.97e-05,0.965,0.0427,10,0.106,-4.441,0.063,167.094,4,0.298,1
I Bet You Look Good On The Dancefloor,Arctic Monkeys,2006,2.89,59,0.535,0.00225,0.948,0.0,6,0.376,-4.19,0.0356,103.183,4,0.778,1
My Happiness,Powderfinger,2000,4.61,64,0.445,0.00163,0.823,0.0,0,0.43,-5.415,0.0302,85.935,4,0.487,1
Holy Grail,Hunters & Collectors,2003,3.82,38,0.65,0.138,0.947,0.00478,1,0.331,-4.239,0.0383,100.917,4,0.736,0
Breathe (In the Air),Pink Floyd,1973,2.83,69,0.431,0.391,0.375,0.721,11,0.143,-15.142,0.0347,128.153,4,0.258,1
Moonage Daydream - 2012 Remaster,David Bowie,1972,4.66,67,0.561,0.0407,0.601,0.000147,11,0.0585,-11.209,0.0348,144.477,4,0.752,1
6 Underground,Sneaker Pimps,1996,3.81,51,0.587,0.0281,0.687,0.14,1,0.121,-8.635,0.0509,169.938,4,0.402,0
All I Wanna Do,Sheryl Crow,1993,4.54,67,0.82,0.111,0.528,0.0186,9,0.257,-11.179,0.0321,120.091,4,0.931,1
Thriller,Michael Jackson,2017,5.97,72,0.764,0.0816,0.887,0.00011,11,0.847,-3.726,0.0744,118.427,4,0.72,1
Fire and Rain - 2019 Remaster,James Taylor,1970,3.39,73,0.597,0.766,0.271,0.0119,5,0.0933,-17.293,0.0394,76.271,4,0.338,1
Total Eclipse of the Heart,Bonnie Tyler,2009,4.46,77,0.431,0.145,0.723,0.0,8,0.375,-5.887,0.056,130.547,4,0.189,1
As Tears Go By - Mono Version,The Rolling Stones,1965,2.75,54,0.331,0.723,0.277,0.00263,7,0.181,-11.035,0.0295,112.78,4,0.366,1
The Unforgettable Fire - Remastered 2009,U2,1984,4.9,47,0.431,0.000335,0.739,0.0581,10,0.103,-8.71,0.03,136.594,4,0.227,0
Bow River - 2011 Remastered,Cold Chisel,1982,4.39,54,0.28,0.057,0.948,0.0,9,0.331,-1.916,0.142,176.896,4,0.644,1
Voodoo,Godsmack,1998,4.71,65,0.778,0.17,0.613,2.56e-06,10,0.102,-9.897,0.0488,120.005,4,0.853,1
The Freshmen,The Verve Pipe,1996,4.49,63,0.571,0.0757,0.505,1.04e-05,1,0.109,-9.312,0.0238,99.562,4,0.276,1
Abacab - 2007 Remaster,Genesis,1981,6.97,46,0.702,0.0195,0.687,0.329,0,0.076,-9.25,0.032,130.711,4,0.175,0
All The Right Moves,OneRepublic,2009,3.97,65,0.529,0.258,0.948,9.35e-06,0,0.283,-3.527,0.0474,146.024,4,0.65,1
Jumper - 1998 Edit,Third Eye Blind,1997,4.55,67,0.599,0.0129,0.543,0.00193,0,0.291,-9.226,0.0302,91.105,4,0.624,1
You're a Lie,Slash,2012,3.82,37,0.482,0.000364,0.975,4.69e-05,10,0.0858,-4.275,0.0461,131.564,4,0.43,0
Dumb,Nirvana,1993,2.53,64,0.697,0.428,0.395,0.653,6,0.173,-13.58,0.0281,113.589,4,0.876,1
Hysteria,Def Leppard,1987,5.91,68,0.659,0.0318,0.846,0.0144,7,0.203,-5.508,0.0274,107.01,4,0.659,1
The Battle of Evermore - Remaster,Led Zeppelin,1971,5.86,49,0.42,0.656,0.662,0.000423,4,0.096,-9.828,0.0341,147.949,4,0.378,0
Rapper's Delight - Single Version,The Sugarhill Gang,2010,3.93,62,0.917,0.185,0.692,1.09e-05,2,0.0686,-11.665,0.244,111.782,4,0.819,1
Casimir Pulaski Day,Sufjan Stevens,2005,5.9,58,0.686,0.909,0.172,0.00154,8,0.286,-14.979,0.0409,133.899,4,0.563,1
Across The Universe - Remastered 2009,The Beatles,1970,3.8,66,0.257,0.361,0.412,8.68e-05,1,0.0702,-11.788,0.0287,152.126,4,0.858,1
Turn Me Loose,Loverboy,1980,5.63,58,0.588,0.0841,0.641,0.000663,5,0.303,-12.205,0.0312,119.374,4,0.548,1
Anyway Anyhow Anywhere - Stereo Version,The Who,1965,2.73,32,0.306,0.523,0.801,0.0719,2,0.0792,-9.63,0.0871,136.629,4,0.458,0
Roller - Remastered,April Wine,2002,4.33,44,0.451,0.0019,0.973,0.122,9,0.0893,-3.615,0.1,140.642,4,0.652,0
Rainbow Dragon,Keiynan Lonsdale,2020,4.22,38,0.745,0.149,0.484,0.0,6,0.362,-8.234,0.194,134.001,4,0.601,0
Helena,My Chemical Romance,2004,3.41,73,0.356,0.0142,0.96,0.0,4,0.209,-3.487,0.104,125.921,4,0.0857,1
Cross-Eyed Mary,Jethro Tull,1971,4.17,51,0.575,0.179,0.696,0.00114,0,0.315,-10.01,0.12,86.304,4,0.646,0
Come And Get It - Remastered 2010,Badfinger,1970,2.39,47,0.616,0.0285,0.629,1.32e-06,8,0.208,-6.9,0.0263,94.004,4,0.606,0
Don't Let Me Be Misunderstood,The Animals,1987,2.43,56,0.546,0.146,0.568,0.0,11,0.77,-9.604,0.0285,112.584,4,0.488,1
Walk of Life,Dire Straits,1985,4.21,62,0.461,0.435,0.936,9.13e-05,4,0.124,-6.866,0.109,172.404,4,0.804,1
Bridge of Sighs - 2007 Remaster,Robin Trower,1974,5.03,49,0.359,0.00549,0.521,0.407,4,0.658,-10.338,0.035,95.965,4,0.325,0
Dancing Barefoot,Patti Smith,1979,4.28,60,0.492,0.235,0.639,0.0,2,0.0738,-9.944,0.0319,115.519,4,0.792,1
"Natural One [In the Style of ""Folk Implosion""]",Stingray Music,2011,2.98,11,0.677,0.53,0.463,7.17e-06,4,0.0988,-10.743,0.0304,110.908,4,0.481,0
Talk Dirty To Me,Poison,1986,3.73,57,0.491,0.00853,0.957,0.000879,11,0.371,-3.67,0.096,158.067,4,0.635,1
Jesus of Suburbia,Green Day,2004,9.14,66,0.3,0.000259,0.929,2.26e-06,1,0.329,-3.214,0.0636,147.116,4,0.59,1
White Hot,Red Rider,1980,5.14,39,0.566,0.0569,0.751,1.17e-05,9,0.0779,-10.649,0.0587,155.689,3,0.573,0
Dissident (Remastered),Pearl Jam,1993,3.58,55,0.267,0.00304,0.864,0.0,0,0.116,-5.127,0.0481,146.691,4,0.531,1
Play That Funky Music,Wild Cherry,1976,5.0,68,0.814,0.0435,0.672,0.0,9,0.061,-12.068,0.0619,109.394,4,0.933,1
Rusted From the Rain,Billy Talent,2009,4.22,64,0.436,0.000257,0.872,7.02e-05,2,0.401,-3.431,0.0306,174.978,4,0.605,1
"One Way Out - Live At The Final Fillmore East Concert, 1971",Allman Brothers Band,1971,4.94,51,0.541,0.576,0.733,0.0321,9,0.705,-9.04,0.0491,106.734,4,0.725,0
The Good Life,Three Days Grace,2009,2.89,60,0.548,0.000345,0.911,0.0,10,0.23,-3.701,0.0397,128.036,4,0.654,1
Down In A Hole,Alice In Chains,1992,5.64,63,0.359,0.0133,0.794,0.000132,6,0.111,-5.908,0.0338,97.188,4,0.423,1
Touch Me I'm Sick,Mudhoney,2008,2.55,39,0.354,4.79e-05,0.941,0.66,1,0.331,-6.984,0.0737,131.442,4,0.569,0
Don't Do Me Like That,Tom Petty and the Heartbreakers,1979,2.7,60,0.758,0.211,0.805,1.53e-05,0,0.0982,-4.243,0.0279,116.543,4,0.961,1
My Girls,Animal Collective,2009,5.68,55,0.508,0.256,0.953,0.0445,4,0.929,-6.031,0.0806,119.973,4,0.555,1
In One Ear,Cage The Elephant,2009,4.02,59,0.326,0.000258,0.948,0.0,1,0.367,-4.315,0.0606,166.388,4,0.358,1
A Forest - 2006 Remaster,The Cure,1980,5.92,54,0.633,0.34,0.62,0.605,0,0.0977,-11.271,0.0648,81.117,4,0.421,1
The World I Know,Collective Soul,1995,4.26,63,0.514,0.0515,0.704,0.00219,2,0.228,-4.724,0.0261,76.975,4,0.386,1
Love Bites - Remastered 2017,Def Leppard,1987,5.78,65,0.59,0.067,0.743,0.00093,0,0.0847,-7.078,0.0347,129.79,4,0.412,1
Super Freak,Rick James,1981,3.42,76,0.838,0.22,0.794,0.0,9,0.0575,-8.245,0.0531,132.446,4,0.962,1
Keep on Loving You,REO Speedwagon,1980,3.34,71,0.306,0.0519,0.722,0.0,0,0.117,-5.963,0.034,174.732,4,0.41,1
The Last Fight,Velvet Revolver,2007,4.05,36,0.261,0.00088,0.783,0.0001,7,0.0753,-4.335,0.0321,185.076,4,0.463,0
Breath,Breaking Benjamin,2006,3.64,64,0.347,0.00012,0.868,0.000273,5,0.0845,-4.145,0.0467,182.851,4,0.313,1
The Rover - 1993 Remaster,Led Zeppelin,1975,5.62,55,0.367,0.0133,0.752,0.00979,6,0.0658,-8.134,0.0317,205.47,4,0.401,1
Black Sabbath,Black Sabbath,2017,6.29,30,0.344,0.0493,0.449,0.0278,2,0.322,-13.887,0.0421,132.809,4,0.123,0
Twist My Arm,The Tragically Hip,1991,3.95,42,0.621,0.0715,0.907,0.0209,4,0.0951,-7.115,0.0543,97.174,4,0.606,0
Constant Craving,k.d. lang,2010,4.62,59,0.6,0.0603,0.77,4.79e-06,5,0.0967,-5.559,0.0302,128.473,4,0.321,1
God Gave Rock 'N' Roll To You II,KISS,1992,5.34,55,0.444,0.112,0.735,0.0,4,0.637,-9.74,0.0526,145.244,4,0.347,1
All Star,Smash Mouth,1999,3.34,79,0.731,0.0395,0.867,0.0,11,0.0861,-5.881,0.032,104.019,4,0.776,1
At Last,Etta James,1960,2.99,75,0.274,0.547,0.348,0.0133,5,0.334,-8.631,0.0293,87.43,3,0.328,1
Bully,Shinedown,2012,4.05,58,0.519,9.03e-05,0.969,0.0,6,0.111,-2.34,0.0662,77.011,4,0.48,1
White Riot - Remastered,The Clash,1977,1.94,51,0.168,0.000598,0.974,0.783,2,0.295,-4.862,0.0655,205.278,4,0.609,0
Violet,Hole,1994,3.42,59,0.287,0.049,0.78,3.71e-05,7,0.184,-6.493,0.0469,167.278,4,0.383,1
Prisoner of Society,The Living End,1999,3.82,46,0.275,0.000186,0.993,0.0,9,0.302,-5.474,0.138,148.725,4,0.19,0
Do You Believe in Magic?,The Lovin' Spoonful,1965,2.1,68,0.553,0.213,0.738,0.0,0,0.339,-7.963,0.0457,138.602,4,0.759,1
The Taste of Ink,The Used,2002,3.48,65,0.541,0.00143,0.904,0.0,7,0.193,-3.001,0.0435,98.122,4,0.541,1
Cities In Dust,Siouxsie and the Banshees,1986,3.86,54,0.561,0.0572,0.974,0.0,6,0.244,-5.178,0.113,120.297,4,0.337,1
Heaven and Hell - 2008 Remaster,Black Sabbath,1980,7.0,57,0.329,0.0239,0.673,0.109,3,0.138,-8.465,0.0296,91.122,4,0.323,1
Twist And Shout,The Isley Brothers,1962,2.59,57,0.774,0.65,0.811,0.0,5,0.0736,-6.526,0.0355,123.351,4,0.963,1
Police & Thieves,Junior Murvin,1977,4.07,58,0.932,0.0597,0.359,0.0,11,0.136,-12.958,0.0944,127.153,4,0.906,1
Spirit in the Night,Bruce Springsteen,1973,4.97,49,0.493,0.377,0.723,1.23e-05,4,0.289,-6.552,0.0813,124.58,4,0.615,0
Politik,Coldplay,2002,5.31,61,0.262,0.0364,0.482,0.000189,5,0.11,-7.75,0.0294,170.968,4,0.063,1
And Your Bird Can Sing - Remastered 2009,The Beatles,1966,2.01,59,0.555,0.0067,0.65,0.0491,4,0.236,-6.936,0.0282,132.59,4,0.966,1
Start Choppin',Dinosaur Jr.,1993,5.67,52,0.373,0.00411,0.755,0.000799,2,0.0635,-7.574,0.103,111.813,4,0.57,0
I Got a Line on You,Spirit,1973,2.66,31,0.433,0.102,0.487,0.00455,11,0.353,-14.596,0.0326,149.574,4,0.822,0
Pink Moon,Nick Drake,1972,2.06,69,0.638,0.819,0.256,0.0707,3,0.145,-15.68,0.0492,82.479,4,0.438,1
The Day I Tried To Live,Soundgarden,1994,5.34,58,0.472,0.000164,0.752,0.181,0,0.0903,-6.051,0.0555,133.248,4,0.305,1
Nightmare,Avenged Sevenfold,2010,6.24,72,0.554,0.000318,0.949,9.98e-05,2,0.2,-4.928,0.0787,129.984,4,0.233,1
Higher Love - Single Version,Various Artists,2020,5.5,38,0.67,0.0647,0.902,0.0254,5,0.407,-7.617,0.0426,98.704,4,0.946,0
For No One - Remastered 2009,The Beatles,1966,2.0,62,0.483,0.783,0.351,0.0,1,0.115,-10.487,0.0278,81.208,4,0.713,1
Everything About You,Ugly Kid Joe,1992,4.34,58,0.522,0.00936,0.79,0.0,1,0.0881,-7.943,0.0627,122.585,4,0.743,1
Wynona's Big Brown Beaver,Primus,1995,4.36,56,0.589,0.000345,0.973,0.103,2,0.161,-6.394,0.0543,129.473,4,0.576,1
Fields Of Gold,Sting,1993,3.7,0,0.649,0.359,0.308,0.0443,2,0.0757,-13.086,0.0261,103.975,4,0.341,0
"William, It Was Really Nothing - 2011 Remaster",The Smiths,1984,2.19,53,0.517,0.0482,0.939,0.000574,2,0.334,-4.929,0.0441,130.661,4,0.487,1
State of Love and Trust,Various Artists,1992,3.79,56,0.326,0.00035,0.894,0.0,9,0.435,-9.558,0.0443,165.193,4,0.664,1
Hitch a Ride,Boston,1976,4.2,54,0.382,0.0011,0.814,0.00401,3,0.101,-7.23,0.0406,116.454,4,0.569,1
Little Fluffy Clouds,The Orb,1991,4.46,50,0.661,0.01,0.542,0.269,6,0.129,-18.465,0.0405,104.99,4,0.541,0
I Can't Go For That (No Can Do) - Pomo Remix,Daryl Hall,2017,5.13,49,0.742,0.0791,0.72,0.0164,5,0.13,-8.604,0.0837,111.061,4,0.456,0
Lady Writer,Dire Straits,1979,3.74,62,0.633,0.103,0.809,0.611,1,0.0726,-8.595,0.0282,147.916,4,0.964,1
Go All The Way,Raspberries,1972,3.42,63,0.305,0.548,0.849,0.000134,9,0.0995,-4.892,0.0999,134.287,4,0.555,1
Life on Mars? - 2015 Remaster,David Bowie,1971,3.93,71,0.442,0.639,0.384,7.7e-05,10,0.0539,-14.635,0.0414,123.281,4,0.216,1
Still Loving You,Scorpions,2011,6.72,73,0.282,0.0047,0.605,0.00144,6,0.103,-4.916,0.0294,103.929,4,0.0783,1
The Ballad Of John And Yoko - Remastered 2015,The Beatles,2000,2.99,56,0.651,0.00465,0.892,2.85e-06,4,0.127,-6.551,0.0313,135.309,4,0.962,1
Margaritaville,Jimmy Buffett,1977,4.18,67,0.8,0.711,0.545,0.00191,2,0.104,-13.637,0.0357,124.943,4,0.861,1
Blind,Korn,1994,4.3,64,0.283,0.00678,0.891,0.0038,2,0.159,-8.165,0.178,92.049,4,0.226,1
Regret - 2015 Remaster,New Order,1993,4.15,58,0.506,0.00146,0.931,0.0227,5,0.27,-5.635,0.0305,129.568,4,0.865,1
Hate To Say I Told You So,The Hives,2000,3.34,68,0.459,0.00126,0.931,0.00881,5,0.412,-5.024,0.0612,135.826,4,0.419,1
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,1968,3.15,70,0.818,0.232,0.728,0.0642,10,0.251,-8.331,0.0314,113.059,4,0.975,1
Move on Up,Curtis Mayfield,1970,2.76,70,0.538,0.417,0.969,0.00154,11,0.119,-5.626,0.0906,138.652,4,0.928,1
Powderfinger - 2016 Remaster,Neil Young,1979,5.51,50,0.482,0.289,0.662,0.0106,7,0.0972,-10.827,0.0326,106.757,4,0.544,0
Long Time Gone - Live,"Crosby, Stills, Nash & Young",1971,5.97,30,0.317,0.0156,0.717,0.00737,7,0.673,-10.109,0.0529,179.692,4,0.69,0
Warning,Green Day,2000,3.69,58,0.728,0.0673,0.92,1.61e-05,2,0.199,-2.828,0.0294,120.989,4,0.892,1
It's Your Thing,The Isley Brothers,1969,2.82,61,0.376,0.0727,0.67,2.52e-06,10,0.0718,-9.273,0.0854,185.503,4,0.837,1
The Crystal Ship,The Doors,1967,2.53,57,0.313,0.797,0.42,2.35e-06,10,0.126,-9.806,0.0303,178.711,4,0.339,1
The Flame,Cheap Trick,1988,5.65,66,0.629,0.513,0.581,2.06e-06,4,0.0755,-11.856,0.027,97.074,4,0.359,1
Pressure Man - 2015 Remaster,the feelers,1998,4.54,33,0.528,0.000712,0.92,0.000368,9,0.0996,-5.216,0.0842,128.017,4,0.416,0
Summertime Blues,Blue Cheer,1990,3.78,36,0.456,0.462,0.514,0.00037,7,0.268,-9.733,0.053,138.377,4,0.657,0
Molly (16 Candles),Sponge,2011,3.69,47,0.459,1.49e-05,0.673,0.00174,1,0.0505,-8.846,0.028,101.159,4,0.549,0
Dead Souls,Various Artists,1994,4.89,51,0.506,0.000885,0.81,0.796,5,0.0892,-8.865,0.0473,99.313,4,0.728,0
He's a Rebel,The Crystals,2011,2.51,41,0.712,0.63,0.757,1.63e-06,6,0.529,-6.449,0.0572,117.367,4,0.866,0
Babooshka,Kate Bush,1980,3.5,60,0.466,0.741,0.439,1.64e-05,5,0.0707,-8.892,0.0325,107.173,4,0.289,1
Glory Glory,Head Like A Hole,2011,3.52,35,0.526,0.0392,0.936,0.0,1,0.27,-3.63,0.0855,112.093,4,0.34,0
Original Prankster,The Offspring,2000,3.68,62,0.664,0.000542,0.877,2.95e-05,2,0.284,-4.251,0.0334,146.804,4,0.961,1
Bleed It Out,Linkin Park,2007,2.77,73,0.529,0.114,0.967,0.0,1,0.61,-3.647,0.0508,140.127,4,0.596,1
Don't Stop (Color on the Walls),Foster The People,2011,2.92,64,0.611,0.00183,0.948,0.0995,1,0.0969,-3.751,0.0753,133.004,4,0.79,1
Mustang Sally,Wilson Pickett,2005,3.13,59,0.725,0.113,0.327,0.326,0,0.214,-17.714,0.0387,110.438,4,0.688,1
Englishman In New York,Sting,1987,4.45,72,0.674,0.396,0.347,1.05e-05,9,0.0916,-17.707,0.0364,102.013,4,0.647,1
Jailbreak,AC/DC,1984,4.68,62,0.572,0.00953,0.835,0.0144,9,0.012,-5.552,0.079,131.567,4,0.591,1
Lovefool,The Cardigans,1996,3.23,67,0.64,0.0646,0.602,0.0,9,0.375,-7.902,0.0299,111.87,4,0.951,1
Lyin' Eyes - 2013 Remaster,Eagles,1975,6.37,66,0.669,0.203,0.673,0.0271,7,0.164,-9.754,0.0248,132.68,4,0.867,1
No Leaf Clover - Live,Metallica,1999,5.72,53,0.246,0.000598,0.95,0.00166,3,0.959,-5.034,0.107,151.568,4,0.359,1
Black Metallic,Catherine Wheel,1992,7.32,41,0.245,0.102,0.413,0.027,9,0.242,-11.762,0.0348,149.765,4,0.0872,0
I Melt with You,Modern English,1982,4.19,61,0.541,0.000975,0.81,0.00158,0,0.0681,-11.745,0.0367,155.582,4,0.647,1
Starship Trooper: Life Seeker - Single Version,Yes,1971,3.44,28,0.32,0.0134,0.615,0.000827,9,0.16,-9.279,0.0454,166.484,4,0.671,0
Flesh For Fantasy - Remastered,Billy Idol,1983,4.64,50,0.66,0.131,0.751,0.000196,9,0.11,-6.333,0.108,94.491,4,0.563,0
Love Is Strange,Various Artists,1987,2.89,56,0.57,0.679,0.301,8.23e-05,0,0.0473,-16.159,0.0341,121.694,4,0.808,1
Let Down,Radiohead,1997,4.99,60,0.352,0.000124,0.674,0.12,9,0.18,-9.018,0.031,102.489,4,0.145,1
Tales Of Brave Ulysses,Cream,1967,2.77,47,0.523,0.0637,0.411,1.28e-06,0,0.047,-13.371,0.0749,105.659,4,0.277,0
Rock Of Ages,Def Leppard,1983,4.13,62,0.706,0.00802,0.785,0.0319,11,0.195,-7.666,0.041,105.893,4,0.636,1
Sleep Now In the Fire,Rage Against The Machine,1999,3.43,67,0.426,0.00162,0.929,0.105,2,0.0789,-6.729,0.0701,127.059,4,0.539,1
I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,2006,4.14,68,0.711,0.0156,0.924,0.0,7,0.114,-3.398,0.0282,108.033,4,0.912,1
Round and Round,Ratt,1984,4.43,65,0.628,0.00682,0.934,1.11e-05,11,0.0852,-6.026,0.0527,126.538,4,0.491,1
Rocket,Def Leppard,1987,6.61,54,0.521,0.000249,0.916,0.00116,11,0.948,-6.822,0.0467,81.998,4,0.398,1
Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,1967,2.78,53,0.613,0.58,0.555,1.64e-06,9,0.119,-9.801,0.072,127.267,4,0.556,1
Man On The Silver Mountain,Rainbow,1975,4.62,59,0.594,0.276,0.77,0.0176,7,0.0575,-8.267,0.032,107.484,4,0.827,1
Little Darlin',The Diamonds,1996,2.16,54,0.631,0.536,0.587,0.29,6,0.333,-11.402,0.042,152.851,4,0.664,1
Last Cup of Sorrow,Faith No More,1997,4.35,44,0.494,3e-05,0.911,0.144,4,0.0441,-6.695,0.0628,76.848,4,0.547,0
The Voice,The Moody Blues,1981,5.28,43,0.439,0.076,0.831,0.000462,0,0.127,-8.116,0.045,152.334,4,0.58,0
Wolf Like Me,TV On The Radio,2006,4.65,61,0.363,0.00177,0.787,0.00446,7,0.531,-5.071,0.0429,175.919,4,0.201,1
Thieves like Us - 2011 Total Version,New Order,2011,3.94,39,0.675,0.027,0.645,0.000172,0,0.0862,-7.648,0.0323,113.079,4,0.898,0
Venus In Furs,The Velvet Underground,1967,5.2,58,0.225,0.00137,0.618,0.616,8,0.079,-9.922,0.0331,144.724,4,0.567,1
Freak Scene,Dinosaur Jr.,1988,3.62,46,0.29,0.00756,0.939,0.00257,9,0.327,-3.519,0.0693,76.996,4,0.222,0
Last Train Home (Originally Performed by Lostprophets) - Vocal Version,Singer's Edge Karaoke,2013,4.09,4,0.574,0.000645,0.676,1.48e-06,4,0.101,-10.635,0.0259,102.49,4,0.316,0
Live And Let Die,Guns N' Roses,1991,3.05,69,0.262,0.0109,0.777,0.113,11,0.12,-8.671,0.0632,152.5,4,0.264,1
Centerfield,John Fogerty,2010,3.86,61,0.777,0.127,0.948,5.36e-06,7,0.0708,-3.648,0.0479,142.359,4,0.973,1
Alex Chilton - 2008 Remaster,The Replacements,1987,3.24,52,0.443,0.00242,0.924,3.73e-05,4,0.323,-7.384,0.0476,165.64,4,0.793,0
Jokerman,Bob Dylan,1983,6.27,50,0.664,0.234,0.65,0.000282,10,0.16,-11.168,0.0444,134.986,4,0.775,0
In the City - 2013 Remaster,Eagles,1979,3.74,54,0.448,0.0226,0.55,0.205,9,0.0425,-7.427,0.026,81.814,4,0.709,1
Who Do You Love?,George Thorogood & The Destroyers,1992,4.34,57,0.524,0.00525,0.91,0.192,4,0.147,-8.55,0.0628,107.237,4,0.59,1
Going Up The Country,Canned Heat,1987,2.86,63,0.653,0.806,0.239,0.0146,5,0.132,-18.54,0.0453,80.392,4,0.765,1
Time Stand Still,Rush,1987,5.15,52,0.529,0.043,0.937,0.0302,4,0.333,-7.832,0.046,138.292,4,0.611,0
For Tomorrow - 2012 Remaster,Blur,1993,4.35,49,0.631,0.0143,0.84,0.0,2,0.0712,-6.025,0.0285,95.849,4,0.653,0
Candy's Room,Bruce Springsteen,1978,2.77,42,0.444,0.105,0.85,0.0181,0,0.549,-7.833,0.0711,150.401,4,0.492,0
Where the Wild Roses Grow - 2011 - Remaster,Nick Cave & The Bad Seeds,1996,3.95,61,0.336,0.378,0.47,0.00332,7,0.0953,-10.541,0.0319,154.649,3,0.163,1
In Dreams,Roy Orbison,1963,2.82,57,0.495,0.67,0.435,0.00038,0,0.13,-9.99,0.0286,108.189,4,0.71,1
My Wife,The Who,1971,3.56,40,0.581,0.318,0.935,0.359,11,0.213,-6.779,0.0439,122.014,4,0.583,0
My Mind's Sedate,Shihad,1999,2.9,21,0.478,8.56e-06,0.958,0.000166,10,0.076,-4.415,0.0634,99.095,4,0.222,0
Nowhere To Run,Martha Reeves & The Vandellas,1965,3.03,60,0.606,0.104,0.815,0.00566,2,0.0515,-9.377,0.0485,129.34,4,0.877,1
Dreadlock Holiday,10cc,1978,4.47,67,0.837,0.541,0.38,0.00789,7,0.198,-13.341,0.064,104.995,4,0.892,1
Lonely Day,System Of A Down,2005,2.8,72,0.47,0.362,0.796,1.11e-06,8,0.133,-3.277,0.0336,113.108,3,0.215,1
Click Click Boom,Saliva,2001,4.21,70,0.609,0.0029,0.935,0.000359,6,0.188,-2.941,0.0479,95.957,4,0.498,1
Carrie,Europe,1986,4.54,71,0.455,0.114,0.487,2.43e-06,7,0.358,-7.112,0.0264,136.482,4,0.139,1
Voodoo Child (Slight Return) - Live,Stevie Ray Vaughan,2002,11.88,40,0.174,0.0612,0.929,0.109,10,0.978,-7.765,0.17,179.461,4,0.244,0
